dataset,column_name,data_type,nullable,description
laps,Deleted,object,Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,DeletedReason,object,Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,FastF1Generated,bool,No,(auto-detected — add description to _DICT_ENTRIES)
laps,LapStartDate,datetime64[ns],Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,Position,float64,Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,Sector1SessionTime,timedelta64[ns],Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,Sector2SessionTime,timedelta64[ns],Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,Sector3SessionTime,timedelta64[ns],Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,circuit,object,No,Circuit location e.g. 'Silverstone'
laps,compound,category,No,Tyre compound: SOFT/MEDIUM/HARD/INTERMEDIATE/WET/UNKNOWN
laps,driver_code,object,No,Three-letter driver abbreviation
laps,driver_number,object,No,FIA car number as string
laps,event_name,object,No,Official FIA event name e.g. 'British Grand Prix'
laps,fresh_tyre,bool,No,True if tyre set is new (not a used set)
laps,is_accurate,bool,No,FastF1 timing accuracy flag; False on inlaps/outlaps
laps,is_personal_best,object,Yes,True if this is driver's fastest lap in the session
laps,lap_number,float64,No,Lap number within the race (1-based)
laps,lap_start_time_s,float64,No,(auto-detected — add description to _DICT_ENTRIES)
laps,lap_time_outlier,bool,No,"True if lap_time_s outside [60 s, 300 s] (see A1)"
laps,lap_time_s,float64,Yes,Lap time in seconds (NaN for inlap/outlap)
laps,pit_in_time_s,float64,Yes,Session time (s) at which driver entered pit lane
laps,pit_out_time_s,float64,Yes,Session time (s) at which driver exited pit lane
laps,position,N/A,No,On-track position at end of lap
laps,round_number,int64,No,Round number within the season (1-based)
laps,season,int64,No,F1 calendar year (2023 or 2024)
laps,sector1_s,float64,Yes,Sector 1 time in seconds
laps,sector2_s,float64,Yes,Sector 2 time in seconds
laps,sector3_s,float64,Yes,Sector 3 time in seconds
laps,session_time_s,float64,No,(auto-detected — add description to _DICT_ENTRIES)
laps,speed_fl,float64,Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,speed_i1,float64,Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,speed_i2,float64,Yes,(auto-detected — add description to _DICT_ENTRIES)
laps,speed_st,float64,Yes,(auto-detected — add description to _DICT_ENTRIES)
